Title,"Identifier - fales_io_print000001, bobst_io_print000002 or similar (don't duplicate numbers)",Handle,TypeOfResource,Creator,Contributor,Subject,Tags,Genre,Date,Date Type,Publisher,Publisher Location,Language,Geographic Location,Description
Disciplina,fales_io_card000330,http://hdl.handle.net/2333.1/jm63xwdr,still image,,,Italy--Colonies--Africa,Italian colonialism,Postcards,,,Bromostampa,"Turin, Italy",ita,, Italian child (in uniform) teaching discipline to three young Africans.
Sorridente e il bel moretto che si sente Italian perfetto,fales_io_card000331,http://hdl.handle.net/2333.1/dv41nvv5,still image,,,"Italo-Ethiopian War, 1935-1936|Italy--Colonies--Africa",children|Italian military,Postcards,,,,,ita,,"African child in an Italian military uniform with a machine gun. Titles translates ""Smiling and good-looking boy who feels perfectly Italian."" Includes postmark, postage stamp, addrress, and writing on the back."
La Canzone del Fante,fales_io_card000332,http://hdl.handle.net/2333.1/931zcvbz,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,,"Italian soldier holding a flag. Title translates as ""Song of the Infantryman."" Lyrics to the song are on the front."
32nd Reggimento Fanteria,fales_io_card000333,http://hdl.handle.net/2333.1/59zw3tw1,still image,,,"Italo-Ethiopian War, 1935-1936|Italy--Colonies--Africa",Italian military (32nd Infantry Regiment),Postcards,,,Danesi,"Rome, Italy",ita,," Woman - sword drawn, stepping off a throne, with the image of a Roman building in the background. Includes a postmark, address, and writing on the back."
Carabinieri Reali,fales_io_card000334,http://hdl.handle.net/2333.1/1ns1rr1f,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,Eritrea, Two Italian military police and an Askaro patrolling the desert.
Bacio della Fede,fales_io_card000335,http://hdl.handle.net/2333.1/wwpzgqrp,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,Italy,ita,," Soldier kissing his loved one, with a map of Eastern Africa in the upper right corner. Title tranlsates as ""kiss of faith."""
Promessa d'amore e di Fede,fales_io_card000336,http://hdl.handle.net/2333.1/s4mw6q7k,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Family,Postcards,,,,,ita,," Soldier kissing a loved one, with a map of Eastern Africa in the upper left corner. Title translates as ""promises of love and faith."""
Die Nocteque Vigilat,fales_io_card000337,http://hdl.handle.net/2333.1/ncjsxppv,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,,,ita,, Armed askaro on a camel watching over the desert.
Saremo Sempre Vicini,fales_io_card000338,http://hdl.handle.net/2333.1/hmgqnp4g,still image,"Monestier, T.",,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,,ita,,"Italian soldier kissing a woman. Title translates as ""We will always be close."""
Igiene,fales_io_card000339,http://hdl.handle.net/2333.1/cvdncnm4,still image,,,Italy--Colonies--Africa,Italian military|Italian colonialism|stereotypes,Postcards,,,Bromostampa,"Turin, Italy",ita,, Italian child/soldier washing an African child with a water hose.
Il Rancio,fales_io_card000340,http://hdl.handle.net/2333.1/83bk3n48,still image,,,Italy--Colonies--Africa,Italian military|Italian colonialism|stereotypes,Postcards,,,Bromostampa,"Turin, Italy",ita,,Italian child/soldier feeding an African child.
A Brusa Suta 'L Suta,fales_io_card000341,http://hdl.handle.net/2333.1/4f4qrjbv,still image,"Pusani, Vittorio",,"Italo-Ethiopian War, 1935-1936",Italian military (3rd Alpine Regiment),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Members of the regiment on the top of a mountain.
Giovanetta,fales_io_card000342,http://hdl.handle.net/2333.1/0p2nghvr,still image,,,Italy--Colonies--Africa,Ethiopians,Postcards,,,,,ita,,Portrait of a young Ethiopian woman.
Gran Dignitario,fales_io_card000343,http://hdl.handle.net/2333.1/vx0k6hgk,still image,,,Italy--Colonies--Africa,Ethiopians,Postcards,,,,,ita,,Portrait of an Ethiopian dignitary.
Untitled,fales_io_card000344,http://hdl.handle.net/2333.1/r4xgxgxt,still image,,,Italy--Colonies--Africa,Ethiopians,Postcards,,,,,ita,,Portrait of an Ethiopian woman wearing a fez.
Untitled,fales_io_card000345,http://hdl.handle.net/2333.1/mcvdngcf,still image,,,"Italo-Ethiopian War, 1935-1936",Askaro,Postcards,,,,,ita,,Portrait of an askaro wearing a turban.
Untitled,fales_io_card000346,http://hdl.handle.net/2333.1/gmsbcfv3,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italian colonialism|stereotypes,Postcards,,,,,ita,, North Africans laying down their weapons to Italian soldiers. Includes stamp and writing on back.
Guerra Italo-Turca,fales_io_card000347,http://hdl.handle.net/2333.1/bvq83fdf,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|Libya,Postcards,,,Eliocromia Fumagalli,"Milan, Italy",ita,"Tripoli, Libya"," Battle between the Italian military and Libyans and Tukish soldiers in Tripoli during the Turco-Italian War, 1911-1912  in 1911."
Guerra Italo-Turca,fales_io_card000348,http://hdl.handle.net/2333.1/76hdrbm2,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|Libya,Postcards,,,Eliocromia Fumagalli,"Milan, Italy",ita,"Sidii Messri, Libya"," Wounded Italian soldiers on the ramparts of the fort in Sidi Messri, Libya during hte Turco-Italian War, 1911-1912  in 1911."
Guerra Italo-Turca,fales_io_card000349,http://hdl.handle.net/2333.1/3ffbgb5d,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|Libya,Postcards,,,Eliocromia Fumagalli,"Milan, Italy",ita,"Sidii Messri, Libya"," Italian miltary in battle with Turkish soldiers at Sidi Messri, Libya during the Turco-Italian War, 1911-1912  in 191."
Guerra Italo-Turca,fales_io_card000350,http://hdl.handle.net/2333.1/zpc869rs,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|Libya,Postcards,,,Eliocromia Fumagalli,"Milan, Italy",ita,"Bengazi, Libya","Bayonet attack by the Italian military on Turkish forces in Bengazi, Libya during the Turco-Italian War, 1911-1912 ."
Guerra Italo-Turca,fales_io_card000351,http://hdl.handle.net/2333.1/tx95x968,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|Libya,Postcards,,,Eliocromia Fumagalli,"Milan, Italy",ita,"Tripoli, Libya"," Italian military capturing the flag of the ""Prophet"" during a battle of the Turco-Italian War, 1911-1912 ."
Untitled,fales_io_card000352,http://hdl.handle.net/2333.1/q573n8nq,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War ,Postcards,,,,,ita,,Italian military officers being greeted by young people.
Untitled,fales_io_card000353,http://hdl.handle.net/2333.1/kd51c84k,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Askari|Turco-Italian War ,Postcards,,,,,ita,, Italian soldiers and Askari looking out over a field.
Questi Valorosi Ufficial,fales_io_card000354,http://hdl.handle.net/2333.1/fn2z37nc,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|medals|Turco-Italian War ,Postcards,,,A. Scrocchi,"Milan, Italy",ita,,"Honors nine Italian officers who died during the Turco-Italian War, 1911-1912  in Libya."
Saluti dalla Motorirrata,fales_io_card000355,http://hdl.handle.net/2333.1/9zw3r4w7,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Nascia & Figlio,"Bengazi, Libya",ita,"Bengazi, Libya"," Procession of Italian infantry and motorized divisions in Bengazi, Libya."
Laboratori D'artiglieria della Cirenaica,fales_io_card000356,http://hdl.handle.net/2333.1/66t1g4dc,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Libya,Postcards,,,,,ita,"Cirenaica, Libya"," Artillery factory in Cirenaica, Libya."
22nd Regg Fanteria,fales_io_card000357,http://hdl.handle.net/2333.1/2fqz63vp,still image,,,"Turco-Italian War, 1911-1912 ",Italian military (22nd Infantry Regiment)|Turco-Italian War ,Postcards,,,Simondetti,"Turin, Italy",ita,," Two Italian officers kneeling in the desert, with infantry behind them. Includes postmark, postage stamp, address and writing on back."
Presidio di Bengazi,fales_io_card000358,http://hdl.handle.net/2333.1/xpnvx3gc,still image,,,"Turco-Italian War, 1911-1912 ","Italian military|Bengazi, Libya|Turco-Italian War ",Postcards,,,,"Turin, Italy",ita,"Bengazi, Libya"," Four military garrisons in Bengazi, Italy during 1911."
Tripoli Italiana,fales_io_card000359,http://hdl.handle.net/2333.1/sxksn2z1,still image,,,"Turco-Italian War, 1911-1912 ",Italian colonialism|Music,Postcards,,,Tipi Bideri,"Naples, Italy",ita,"Tripoli, Libya",Lyrics and music to Tripoli Italiana. Includes various Roman symbols.
Medaglia-Omaggio Pei eroi di Libia,fales_io_card000360,http://hdl.handle.net/2333.1/p5hqc2fx,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War|medals,Postcards,,,,,ita,," Medal made for ""heroes of Libya."""
E L'aquli Torno,fales_io_card000361,http://hdl.handle.net/2333.1/jdfn31zt,still image,,,"Turco-Italian War, 1911-1912 ",Italian colonialism|eagle|Libya|Turco-Italian War ,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Cirenaica, Libya","""And the Eagle Returned."" Symbolizing the return of the Roman Empire."
Nel primo anniversario dell'occupazione di Tripoli,fales_io_card000362,http://hdl.handle.net/2333.1/dr7sqz5f,still image,,,"Turco-Italian War, 1911-1912 ",Italian colonialism|Libya|Turco-Italian War ,Postcards,,,,,ita,"Tripoli, Libya",Commemorating the first anniversary (1912) of the occupation of Tripoli by Italy.
Reduci dalla Libia e Caduci,fales_io_card000363,http://hdl.handle.net/2333.1/905qfxpc,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Turco-Italian War ,Postcards,,,,,ita,Libya,"Honors the ""fallen veterans of Libya."""
La Roninella di Libia,fales_io_card000364,http://hdl.handle.net/2333.1/573n5x3r,still image,,,"Turco-Italian War, 1911-1912 ",colonialsim|Italian military|Turco-Italian War ,Postcards,,,,,ita,, Swallow in card dedicated to Italian soldiers in Libya.
Nei Secoli Fedele,fales_io_card000365,http://hdl.handle.net/2333.1/1g1jwwj1,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,,"Honors Italian soldiers, seen at various historical times with the title ""Faithful over the centuries."""
18th Infantry Regiment,fales_io_card000366,http://hdl.handle.net/2333.1/wpzgmw61,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (18th Infantry Regiment),Postcards,,,A.E. Fiecchi,"Venice, Italy",ita,, Regiment with the regimental flag.
Untitled,fales_io_card000367,http://hdl.handle.net/2333.1/rxwdbvqx,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Lake Tana, Ethiopia|Starace, Achille",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Lake Tana, Ethiopia","Photograph of troops and supplies in Starace's Fast Column marching toward Lake Tana, Ethiopia."
Untitled,fales_io_card000368,http://hdl.handle.net/2333.1/n5tb2v72,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Starace, Achille",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Lake Tana, Ethiopia",Photograph of a tank in Starace's  Fast Column.
Untitled,fales_io_card000369,http://hdl.handle.net/2333.1/hhmgqrdd,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,,,ita,Somalia,Photograph of an Askari lookout perched in a tree.
Untitled,fales_io_card000370,http://hdl.handle.net/2333.1/crjdfqx9,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Starace, Achille",Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,"Photograph of a truck in Starace's Fast Column moving through Ethiopia. Includes postmark, postage stamp, address, and writing on back."
Untitled,fales_io_card000371,http://hdl.handle.net/2333.1/80gb5qcz,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Starace, Achille",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Lake Tana, Ethiopia","Photograph of a truck in Starace's Fast Column moving through Ethiopia. Includes postmark, address, and writing on back."
Untitled,fales_io_card000372,http://hdl.handle.net/2333.1/47d7wpt7,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Eritrea,Postcards,,,Ballerini & Fratini,"Florence, Italy",ita,Eritrea,Photograph of Italian soldiers behind sand bags in Eritrea.
Untitled,fales_io_card000373,http://hdl.handle.net/2333.1/0gb5mp93,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Somalia,Postcards,,,Ballerini & Fratini,"Florence, Italy",ita,Somalia,Photograph of Italian soldiers crossing a pontoon in Somalia.
Cirenaica 1914-1915,fales_io_card000374,http://hdl.handle.net/2333.1/vq83bp0d,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (16th Askari Battalion)|Askari (Eritrean),Postcards,,,,,ita,," battalion flag, swords, and rifles of theEritream Askari battalion."
Grande Covegno Nazionale,fales_io_card000375,http://hdl.handle.net/2333.1/qz612nh9,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Libya|Turco-Italian War,Postcards,,,,,ita,,"Advertises a convention (in 1913) honoring student vetereans of the Turco-Italian War, 1911-1912  in Libya."
Quaranta anni dopo,fales_io_card000376,http://hdl.handle.net/2333.1/m905qjqx,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Italian colonialism|Badoglio, Pietro|Graziani, Rodolfo",Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,," Italian military leaders Pietro Badoglio and Rodolfo Graziani. Title translates as ""Some 40 years later."""
Vittoria,fales_io_card000377,http://hdl.handle.net/2333.1/ghx3fj7z,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,," Man and woman in front of a bell inscribed with the word ""Victory."""
Italia Imperiale,fales_io_card000378,http://hdl.handle.net/2333.1/brv15hn4,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,," Bell inscribed with the words ""Imperial Italy,"" as notes marked ""victory"" drop from it."
Posta Militare Natale,fales_io_card000379,http://hdl.handle.net/2333.1/70rxwh3j,still image,,,Italy--Colonies--Africa,Religion,Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Nativity scene.
Buon Natale,fales_io_card000380,http://hdl.handle.net/2333.1/37pvmgk6,still image,,,Italy--Colonies--Africa,Religion,Postcards,,,,,ita,, Monkee opening a Christmas present as African villagers celebrate in the background.
Auguri,fales_io_card000381,http://hdl.handle.net/2333.1/zgmsbg8h,still image,,,Italy--Colonies--Africa,Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,, Child emerging from an egg as planes fly above.
Ave Maria,fales_io_card000382,http://hdl.handle.net/2333.1/ttdz0cg7,still image,,,"Italo-Ethiopian War, 1935-1936",religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,," Soldiers march along with a tank, on which sits the Virgin Mary and other figures."
Untitled,fales_io_card000383,http://hdl.handle.net/2333.1/q2bvqc07,still image,,,"Italo-Ethiopian War, 1935-1936",religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,, Planes flying over the Virgin Mary and angels.
Nostra Missione,fales_io_card000384,http://hdl.handle.net/2333.1/k98sfbh4,still image,,,"Italo-Ethiopian War, 1935-1936",religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,Soldiers march being watched over by the Virgin Mary.
Tutto per la patria!,fales_io_card000385,http://hdl.handle.net/2333.1/fj6q59zj,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Outstretched hands offering jewlery, medals, and coins. Title translates as ""All for the Fatherland."""
Ragazzi ricordatevi,fales_io_card000386,http://hdl.handle.net/2333.1/9s4mw9d1,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|League of Nations,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Woman points to the date Nov. 18, 1935 (the date the League of Nations imposed sanctions of Italy) and tells children to ""remember."""
"Italiani, boicottate le sanzione!",fales_io_card000387,http://hdl.handle.net/2333.1/612jm8wq,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|League of Nations,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,Airplane dropping bombs on the sanctions against Italy passed by the League of Nations.
Tu non vedrai nessuna cosa al monda maggior di Roma,fales_io_card000388,http://hdl.handle.net/2333.1/280gb8dt,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|Italian military,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Italian planes, tanks, and soldiers march with a symbol of Rome."
Eia,fales_io_card000389,http://hdl.handle.net/2333.1/xksn05rf,still image,"Mastroianni, Domenico ",,Italy--Colonies--Africa,Italian colonialism|stereotypes,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"An Italian child/soldier greets an African child, emerging from an egg,  with the fascist greeting."
Acquaiola,fales_io_card000390,http://hdl.handle.net/2333.1/stqjq58d,still image,"Mastroianni, Domenico ",,Italy--Colonies--Africa,Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,African woman and child.
Primo amore,fales_io_card000391,http://hdl.handle.net/2333.1/p2ngf4sb,still image,"Mastroianni, Domenico ",,Italy--Colonies--Africa,Italian colonialism|stereotypes,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,African man and woman outside of a hut.
Sogno di balilla,fales_io_card000392,http://hdl.handle.net/2333.1/j9kd547z,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Italian child sleeping, with a cannon on his lap, pointed at dream images of Africans."
I'italia non si piega,fales_io_card000393,http://hdl.handle.net/2333.1/djh9w3p7,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian colonialism|League of Nations,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Hammers representing League of Nations sanctions, strike an anvil representing Italy. Ttitle translates as ""Italy does not fold."""
La mesa al campo,fales_io_card000394,http://hdl.handle.net/2333.1/8sf7m353,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian military|religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,Priest and soldiers pray before a statue of Jesus Christ.
Per lui che combatte,fales_io_card000395,http://hdl.handle.net/2333.1/51c5b2p1,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,Child stands underneath airplanes flying overhead.
Resistere,fales_io_card000396,http://hdl.handle.net/2333.1/1c59zzv6,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian colonialism|League of Nations,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,Hands shown resisting the League of Nations sanctions against Italy in 1935.
"Aiutali, combattono anche per te!",fales_io_card000397,http://hdl.handle.net/2333.1/wm37pzjh,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian military|religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Priest praying to an infant/angel as soldiers advance in the background. Title tarnslates as: ""Help them, they fight for you too!"""
"Madonnina, proteggi e guida i nostri soldati",fales_io_card000398,http://hdl.handle.net/2333.1/rv15dz1c,still image,"Mastroianni, Domenico ",,"Italo-Ethiopian War, 1935-1936",Italian military|religion,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"Mother and daughter praying to the Mary and Jesus Christ. Title translates as: ""Madonna, protect and guide our soldiers."""
Alla sorgente,fales_io_card000399,http://hdl.handle.net/2333.1/n2z34xgr,still image,"Mastroianni, Domenico ",,Italy--Colonies--Africa,Italian colonialism,Postcards,,,Sculture D. Mastrojanni,"Rome, Italy",ita,,"African mother, daughter, and infant."
Untitled,fales_io_card000400,http://hdl.handle.net/2333.1/h9w0vwx1,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|stereotypes|African women|sex,Postcards,,,Venete,"Venice, Italy",ita,,Two African women performing a welcoming dance as Italian soldiers approach.
Untitled,fales_io_card000401,http://hdl.handle.net/2333.1/cjsxkwds,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|stereotypes,Postcards,,,Venete,"Venice, Italy",ita,,African rides a donkey with a child as an Italian truck convoy passes in the other direction.
Untitled,fales_io_card000402,http://hdl.handle.net/2333.1/7sqv9vxp,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|stereotypes,Postcards,,,Venete,"Venice, Italy",ita,,African villagers stand in line as Italian soldiers dish out food to them.
Untitled,fales_io_card000403,http://hdl.handle.net/2333.1/44j0zs5v,still image,,,"Italo-Ethiopian War, 1935-1936|Italy--Colonies--Africa",Italian colonialism|stereotypes|Italian military|family|African women|sex,Postcards,,,Venete,"Venice, Italy",ita,,"Half-clothed African women stand in the background as an Italian soldier, back turned from the women, pens a letter to his wife."
Untitled,fales_io_card000404,http://hdl.handle.net/2333.1/0cfxprpn,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|stereotypes,Postcards,,,Venete,"Venice, Italy",ita,,Three Africans greet two Italian soldiers in the desert.
Untitled,fales_io_card000405,http://hdl.handle.net/2333.1/vmcvdr9g,still image,,,"Italo-Ethiopian War, 1935-1936|Italy--Colonies--Africa",Italian colonialism|stereotypes|African women|sex,Postcards,,,Venete,"Venice, Italy",ita,,"Three scantily clad African women, one carrying a baby holding an Italian flag, in the foreground with two Italian soldiers in the background."
"Batterie CC.NN. della ""28, Octobre""",fales_io_card000406,http://hdl.handle.net/2333.1/qv9s4qrw,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italian colonialism,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of Italian soldiers around a mortar. 
Mitraglieri alpini sull' Amba Aradam,fales_io_card000407,http://hdl.handle.net/2333.1/m37pvq6d,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Battle of Enderta|Italo-Ethiopian War,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Amba Aradam, Ethiopia","Photograph of Italian soldiers around a machine gun during the Battle of Enderta. Title translates as: ""Alpine gunners on Mount Aradam."""
Il cappellano della legione impartisce la s. comunione ai legionari,fales_io_card000408,http://hdl.handle.net/2333.1/gb5mkpp2,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italo-Ethiopian War|Religion,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of an Italian priest giving communion to an Italian soldier.
Mitraglieri fiat in postazione nel tembien,fales_io_card000409,http://hdl.handle.net/2333.1/bk3j9p65,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italo-Ethiopian War|Battle of Tembien,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Tembien, Ethiopia",Photograph of Italian machine gunners at the Battle of Tembien.
Artigliera indigena in posizione,fales_io_card000410,http://hdl.handle.net/2333.1/6wwpzkfx,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of Askari behind artillery.
Artigliera indigena in batteria,fales_io_card000411,http://hdl.handle.net/2333.1/34tmpjzv,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|aAskari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of Askaro behind artillery.
"Askari eritrei durante una sosta, verso Dessie",fales_io_card000412,http://hdl.handle.net/2333.1/zcrjdjkp,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Dessie, Ethiopia",Photograph of  Eritrean Askari in uniform.
Saluto al Duce,fales_io_card000413,http://hdl.handle.net/2333.1/tmpg4j19,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Mussolini, Benito",Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of Italian soldiers saluting Mussolini. 
Ascaro cammelliere verso Dessie,fales_io_card000414,http://hdl.handle.net/2333.1/pvmcvhgk,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Dessie, Ethiopia","Phtograph of as Askaro riding a camel to Dessie, Ethiopia."
"Aeroplani Caproni della eroica ""Disperata"" pronta spiccare il volo",fales_io_card000415,http://hdl.handle.net/2333.1/k3j9kgz8,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|airplane (Caproni),Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of a Caproni airplane.
Autocarrette verso Addis Ababa,fales_io_card000416,http://hdl.handle.net/2333.1/fbg79ggc,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Adis Ababa, Ethiopia","Photograph of an Italian military convoy on its way to Adis Ababa, Ethiopia."
Carro d'assalto veloce in agguato,fales_io_card000417,http://hdl.handle.net/2333.1/9p8czcpz,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Tanks,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of an Italian tank.
Artiglieria di Corpo d'Armata in postazione nel Tembien,fales_io_card000418,http://hdl.handle.net/2333.1/5x69pc62,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italo-Erhiopian War|Battle of Tembien,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Tembien, Ethiopia",Photograph of Italian artillery preparing for the battle of Tembien.
L'ingresso del 30 regg. Bersaglieri in Macalle,fales_io_card000419,http://hdl.handle.net/2333.1/2547dbnh,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military (30th Regiment)|Italo-Ethiopian War|Mekele, Ethiopia",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Mekele, Ethiopia","Photograph of Italian sharpshooters entering Mekele, Ethiopia."
Una statione radio da campo nella zona dell'Ascianghi,fales_io_card000420,http://hdl.handle.net/2333.1/xd254b8b,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italo-Ethiopian War|Battle of Lake Ascianghi,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Lake Ascianghi, Ethiopia",Photograph of Italian soldiers with a military radio during the Battle of Lake Ascianghi.
Cavalleria indigena verso Addis Abeba,fales_io_card000421,http://hdl.handle.net/2333.1/sn02v9rv,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Askari|Italo-Ethiopian War,Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Adis Ababa, Ethiopia",Photograph of Askari on horseback heading to Adis Ababa.
Il Maggiore Bottai fra gli Ufficiali del suo battaglione,fales_io_card000422,http://hdl.handle.net/2333.1/nvx0k97n,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Italo-Ethiopian War|Bottai, Giuseppe",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Adis, Ababa, Etrhiopia",Photograph of Giuseppi Bottai with other Italian military officers.
La Messa al campo delle CC.NN. nella zona di Ascianghi,fales_io_card000423,http://hdl.handle.net/2333.1/j3tx98sq,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Italo-Ethiopian War|Religion|Lake Ascianghi, Ethiopia",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Lake Ascianghi, Ethiopia","Photograph of a priest celebrating mass in the field near Lake Ascianghi, Ethiopia."
Artiglieria Alpina al fuoco,fales_io_card000424,http://hdl.handle.net/2333.1/dfn2z5z5,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Italo-Ethiopian War|artillery,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photograph of Italian artillery firing.
